Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
Senate,15,Senate District 15,"WOODWARD, ROB",Active,Republican,WOODWARD FOR COLORADO,No,Active,12403.7000,48083.5000,20107.0900,0.0000,0.0000,40380.1100,0.0000,0.0000
Senate,17,Senate District 17,"SEMENAS, KEITH",Active,Republican,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,17,Senate District 17,"WALLACE, KATIE",Active,Democratic,KATIE WALLACE FOR COLORADO,No,Active,0.0000,28200.1900,5315.2900,0.0000,0.0000,22884.9000,0.0000,0.0000
Senate,17,Senate District 17,"WILSON, MARTHA R.",Terminated,Democratic,MARTHA WILSON FOR COLORADO,Yes,Terminated,0.0000,550.0000,550.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,20,Senate District 20,"LIEDER, SHEILA",Active,Democratic,LIEDER FOR COLORADO,No,Active,0.0000,57457.5700,6073.0400,0.0000,0.0000,51384.5300,0.0000,0.0000
Senate,20,Senate District 20,"MANCUSO, RICHARD",Active,Republican,MANCUSO FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,21,Senate District 21,"ALFRED JR., FREDERICK",Active,Republican,FRED FOR SD21,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,21,Senate District 21,"BENAVIDEZ, ADRIENNE",Active,Democratic,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,21,Senate District 21,"RYCKMAN, ALEX",Active,Democratic,None,Yes,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,22,Senate District 22,"DANIELSON, JESSIE",Terminated,Democratic,JESSIE DANIELSON FOR COLORADO,No,Terminated,38475.3300,53460.3300,91935.6600,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,22,Senate District 22,"DURAN, MONICA IRASEMA",Active,Democratic,DURAN FOR COLORADO,No,Active,0.0000,62136.6500,31495.3600,0.0000,0.0000,30641.2900,0.0000,0.0000
Senate,24,Senate District 24,"MULLICA, KYLE",Active,Democratic,KYLE MULLICA FOR SD 24,No,Active,4937.9600,38675.0000,1676.5700,0.0000,0.0000,41936.3900,0.0000,0.0000
Senate,25,Senate District 25,"BIRD, SHANNON",Terminated,Democratic,BIRD FOR COLORADO,No,Terminated,0.0000,21247.7500,21247.7500,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,25,Senate District 25,"BROMLEY, MARK P",Active,Unaffiliated,VOTE BROMLEY A.K.A. MARK BROMLEY,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,25,Senate District 25,"KLENOW, THOMAS ANTHONY",Active,Democratic,TOM KLENOW FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Senate,25,Senate District 25,"LINDSTEDT, WILLIAM",Active,Democratic,WILLIAM FOR COLORADO,No,Active,0.0000,74132.4900,10662.7900,0.0000,0.0000,63469.7000,0.0000,0.0000
